query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus;7-mean;7-minus;7-plus;7-first-mean;7-first-minus;7-first-plus;8-mean;8-minus;8-plus;8-first-mean;8-first-minus;8-first-plus;9-mean;9-minus;9-plus;9-first-mean;9-first-minus;9-first-plus
1;7;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;41;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN
2;35;0;0;NaN;NaN;NaN;28;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;14;0;0;NaN;NaN;NaN;24;0;0;NaN;NaN;NaN;52;0;0;NaN;NaN;NaN;13;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;26;0;0;NaN;NaN;NaN
3;12;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;14;0;0;NaN;NaN;NaN;50;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;13;0;0;NaN;NaN;NaN
4;14;0;0;NaN;NaN;NaN;12;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;14;0;0;NaN;NaN;NaN;63;0;0;NaN;NaN;NaN;15;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;15;0;0;NaN;NaN;NaN
6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
7;64;0;0;NaN;NaN;NaN;40;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;14;0;0;NaN;NaN;NaN;78;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;120;0;0;NaN;NaN;NaN
8;47;0;0;NaN;NaN;NaN;41;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN;16;0;0;NaN;NaN;NaN;85;0;0;NaN;NaN;NaN;10;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;18;0;0;NaN;NaN;NaN
9;31;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;1;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;41;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN
10;43;0;0;NaN;NaN;NaN;37;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;16;0;0;NaN;NaN;NaN;65;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;27;0;0;NaN;NaN;NaN
11;3;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;36;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN
12;10;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;9;0;0;NaN;NaN;NaN;41;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
