query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus
C1;375;31;36;358.8;30.80000000000001;41.19999999999999;8.6;0.5999999999999996;2.4000000000000004;8.6;0.5999999999999996;2.4000000000000004
C2;2538.8;466.8000000000002;579.1999999999998;NaN;NaN;NaN;90;3;3;NaN;NaN;NaN
C3;5786.8;415.8000000000002;176.19999999999982;17.8;3.8000000000000007;3.1999999999999993;7086.6;617.6000000000004;468.39999999999964;18.6;1.6000000000000014;2.3999999999999986
F1;27.6;4.600000000000001;14.399999999999999;NaN;NaN;NaN;4.6;0.5999999999999996;0.40000000000000036;NaN;NaN;NaN
F2;25;15;46;28;NaN;NaN;3;1;2;5;NaN;NaN
F3;69;59;41;51.666666666666664;1.6666666666666643;1.3333333333333357;4;2;1;5;NaN;NaN
F4;69.8;6.799999999999997;7.200000000000003;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
F5;136.8;25.80000000000001;34.19999999999999;24.8;2.8000000000000007;3.1999999999999993;6.4;0.40000000000000036;0.5999999999999996;4.8;0.7999999999999998;1.2000000000000002
L1;29.2;4.199999999999999;7.800000000000001;16.75;2.75;3.25;3.6;0.6000000000000001;1.4;3.75;0.75;1.25
L2;13.8;0.8000000000000007;1.1999999999999993;10.4;1.4000000000000004;1.5999999999999996;4.6;1.5999999999999996;3.4000000000000004;4.6;1.5999999999999996;3.4000000000000004
L3;18.8;4.800000000000001;2.1999999999999993;9.6;1.5999999999999996;2.4000000000000004;3.6;0.6000000000000001;0.3999999999999999;3;NaN;NaN
L4;9.8;0.8000000000000007;1.1999999999999993;8;1;1;3.2;0.20000000000000018;0.7999999999999998;3;NaN;NaN
L5;18;3;2;11.8;1.8000000000000007;1.1999999999999993;6;2;1;6;2;1
S1;172.2;74.19999999999999;72.80000000000001;89.6;62.599999999999994;82.4;10.8;2.8000000000000007;3.1999999999999993;10.6;2.5999999999999996;3.4000000000000004
S2;62.2;25.200000000000003;79.8;27.6;15.600000000000001;47.4;5;1;2;4.8;0.7999999999999998;2.2
S3;43.6;28.6;44.4;22;1;1;5.2;1.2000000000000002;1.7999999999999998;4.5;0.5;0.5
S4;24.6;8.600000000000001;27.4;NaN;NaN;NaN;11.2;7.199999999999999;5.800000000000001;NaN;NaN;NaN
S5;14.4;1.4000000000000004;1.5999999999999996;NaN;NaN;NaN;4.4;0.40000000000000036;0.5999999999999996;NaN;NaN;NaN
S6;24.2;11.2;4.800000000000001;14;3;2;3.2;1.2000000000000002;0.7999999999999998;3.25;0.25;0.75
S7;6.6;0.5999999999999996;1.4000000000000004;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN
